"illuminance","blinds","lamps","rh","co2","temp","occupancy"
2,100,0,40.68999863,418.7909851,22.12999916,-1
2,100,0,40.68999863,430.8240051,22.12999916,-1
2,100,0,40.68999863,418.743988,22.12999916,-1
2,100,0,40.68999863,433.6199951,22.12999916,-1
2,100,0,40.68999863,423.5289917,22.12999916,-1
2,100,0,41.18000031,423.5289917,22.12999916,-1
2.5,100,0,41.18000031,421.3970032,22.12999916,-1
2.5,100,0,41.18000031,421.3500061,22.12999916,-1
3,100,0,41.18000031,414.3850098,22.12999916,-1
3,100,0,41.65999985,414.3850098,22.12999916,-1
3.5,100,0,41.65999985,423.8599854,22.12999916,-1
4,100,0,41.65999985,421.4440002,22.12999916,-1
4.5,100,0,41.65999985,426.4190063,22.12999916,-1
4.5,100,0,41.65999985,423.196991,22.12999916,-1
4.5,100,0,41.90999985,423.196991,22.12999916,-1
5,100,0,41.90999985,423.6229858,22.12999916,-1
5,100,0,41.90999985,423.6229858,22.20999908,-1
5,100,0,41.90999985,423.5289917,22.20999908,-1
5,100,0,41.90999985,433.7139893,22.20999908,-1
5,100,0,41.90999985,423.243988,22.20999908,-1
5,100,0,41.90999985,424.0499878,22.20999908,-1
5,100,0,41.90999985,424.0499878,22.29999924,-1
5,100,0,41.84999847,424.0499878,22.29999924,-1
5,100,0,41.84999847,426.4190063,22.29999924,-1
5.5,100,0,41.84999847,426.4190063,22.29999924,-1
5.5,100,0,41.84999847,414.480011,22.29999924,-1
5.5,100,0,41.97000122,414.480011,22.29999924,-1
5.5,100,0,41.97000122,414.2909851,22.29999924,-1
7,100,0,41.97000122,414.2909851,22.29999924,-1
7,100,0,41.97000122,421.5390015,22.29999924,-1
7,100,0,41.97000122,421.5390015,22.38999939,-1
7,100,0,41.97000122,416.802002,22.38999939,-1
7.5,100,0,41.97000122,416.802002,22.38999939,-1
7.5,100,0,41.97000122,423.8599854,22.38999939,-1
7.5,100,0,42.15000153,423.8599854,22.38999939,-1
7.5,100,0,42.15000153,414.1010132,22.38999939,-1
7.5,100,0,42.15000153,431.2030029,22.46999931,-1
7.5,100,0,42.15000153,416.802002,22.46999931,-1
9.5,100,0,42.15000153,416.802002,22.46999931,-1
9.5,100,0,42.15000153,415.9960022,22.46999931,-1
10,100,0,42.15000153,415.9960022,22.46999931,-1
10,100,0,42.15000153,415.9960022,22.63999939,-1
10,100,0,42.40000153,415.9960022,22.63999939,-1
10,100,0,42.40000153,416.6589966,22.63999939,-1
10,100,0,42.40000153,414.4330139,22.63999939,-1
11,100,0,42.40000153,414.4330139,22.63999939,-1
11,100,0,42.40000153,415.1435089,22.63999939,-1
12.5,100,0,42.40000153,415.1435089,22.63999939,-1
12.5,100,0,42.40000153,420.9710083,22.63999939,-1
12.5,100,0,42.40000153,420.9710083,22.81999969,-1
20,100,0,42.40000153,420.9710083,22.81999969,-1
20,100,0,42.40000153,414.3380127,22.81999969,-1
20,100,0,42.45999908,414.3380127,22.81999969,-1
27.5,100,0,42.45999908,403.9159851,22.81999969,-1
27.5,100,0,42.45999908,414.4330139,22.81999969,-1
29.5,100,0,42.45999908,414.4330139,22.81999969,-1
29.5,100,0,42.45999908,411.9689941,22.81999969,-1
29.5,100,0,42.45999908,411.9689941,23.23999977,-1
31.5,100,0,42.45999908,411.9689941,23.23999977,-1
31.5,100,0,41.97000122,411.9689941,23.23999977,-1
31.5,100,0,41.97000122,414.480011,23.23999977,-1
33.5,100,0,41.97000122,414.480011,23.23999977,-1
35.5,100,0,41.97000122,414.480011,23.23999977,-1
67,100,0,41.97000122,414.480011,23.23999977,-1
67,100,0,41.97000122,413.8640137,23.23999977,-1
67,100,0,40.93000031,413.8640137,23.76000023,-1
69,100,0,40.93000031,413.8640137,23.76000023,-1
69,100,0,40.93000031,407.1369934,23.76000023,-1
71,100,0,40.93000031,407.1369934,23.76000023,-1
71,100,0,40.93000031,407.0419922,23.76000023,-1
72,100,0,40.93000031,407.0419922,23.76000023,-1
72,100,0,40.93000031,412.0639954,23.76000023,-1
70.5,100,0,39.59000015,412.0639954,24.27000046,-1
70.5,100,0,39.59000015,411.8269958,24.27000046,-1
69,100,0,39.59000015,411.8269958,24.27000046,-1
69,100,0,39.59000015,404.5310059,24.27000046,-1
61.5,100,0,39.59000015,404.5310059,24.27000046,-1
61.5,100,0,39.59000015,404.4370117,24.27000046,-1
61,100,0,39.59000015,404.4370117,24.27000046,-1
61,100,0,39.59000015,414.006012,24.27000046,-1
61,100,0,39.59000015,414.006012,24.95999908,-1
61,100,0,39.59000015,397.3299866,24.95999908,-1
60,100,0,38.66999817,397.3299866,24.95999908,-1
60,100,0,38.66999817,404.2000122,24.95999908,-1
60,100,0,38.66999817,404.3420105,24.95999908,-1
61,100,0,38.66999817,404.3420105,24.95999908,-1
61,100,0,38.66999817,402.0209961,25.55999947,-1
61.5,100,0,37.81999969,402.0209961,25.55999947,-1
93.5,100,0,37.81999969,402.0209961,25.55999947,-1
93.5,100,0,37.81999969,404.57901,25.55999947,-1
126.5,100,0,37.81999969,404.57901,25.55999947,-1
109.5,100,0,37.81999969,404.57901,25.55999947,-1
109.5,100,0,37.81999969,397.2829895,25.55999947,-1
85,100,0,37.81999969,397.2829895,25.55999947,-1
67.5,100,0,37.81999969,397.2829895,25.55999947,-1
67.5,100,0,37.81999969,404.3890076,25.55999947,-1
67.5,100,0,37.81999969,404.3890076,26.07999992,-1
58.5,100,0,37.81999969,404.3890076,26.07999992,-1
58.5,100,0,37.81999969,404.5310059,26.07999992,-1
58.5,100,0,37.50999832,404.5310059,26.07999992,-1
55.5,100,0,37.50999832,404.5310059,26.07999992,-1
55.5,100,0,37.50999832,402.115509,26.07999992,-1
55.5,100,0,37.50999832,397.2359924,26.07999992,-1
28,100,0,37.50999832,397.2359924,26.07999992,-1
10.5,100,0,37.50999832,409.4110107,26.07999992,-1
10.5,100,0,37.50999832,394.8670044,26.07999992,-1
