nu,gamma,fold,f1,fit_time_s
0.01,0.01,1,0.18181818181818182,1.666273832321167
0.01,0.01,2,0.6666666666666666,2.089027166366577
0.01,0.01,3,0.5,2.0528910160064697
0.01,0.01,4,0.625,1.6331861019134521
0.01,0.01,5,0.3076923076923077,1.5951075553894043
0.01,0.1,1,0.42857142857142855,1.500096082687378
0.01,0.1,2,0.3333333333333333,1.826181173324585
0.01,0.1,3,0.5882352941176471,1.525434970855713
0.01,0.1,4,0.5333333333333333,1.6040427684783936
0.01,0.1,5,0.5333333333333333,1.3761992454528809
0.01,1.0,1,0.375,1.4870214462280273
0.01,1.0,2,0.35294117647058826,1.4362273216247559
0.01,1.0,3,0.5454545454545454,2.014387369155884
0.01,1.0,4,0.35294117647058826,2.059807300567627
0.01,1.0,5,0.42857142857142855,1.397878885269165
0.05,0.01,1,0.5,1.5255682468414307
0.05,0.01,2,0.6666666666666666,1.6411783695220947
0.05,0.01,3,0.5,1.4856503009796143
0.05,0.01,4,0.5555555555555556,1.5086045265197754
0.05,0.01,5,0.625,1.4626786708831787
0.05,0.1,1,0.47058823529411764,1.6082100868225098
0.05,0.1,2,0.5714285714285714,1.6292908191680908
0.05,0.1,3,0.5333333333333333,1.5944890975952148
0.05,0.1,4,0.625,1.6745798587799072
0.05,0.1,5,0.625,1.6018614768981934
0.05,1.0,1,0.375,1.5381603240966797
0.05,1.0,2,0.35294117647058826,1.4295098781585693
0.05,1.0,3,0.5454545454545454,1.4460279941558838
0.05,1.0,4,0.375,1.3989591598510742
0.05,1.0,5,0.5333333333333333,1.377774715423584
0.1,0.01,1,0.631578947368421,1.5562381744384766
0.1,0.01,2,0.7058823529411765,1.7865705490112305
0.1,0.01,3,0.5454545454545454,1.4268193244934082
0.1,0.01,4,0.631578947368421,1.5450708866119385
0.1,0.01,5,0.6666666666666666,1.430668830871582
0.1,0.1,1,0.6,1.4501993656158447
0.1,0.1,2,0.7058823529411765,1.5231835842132568
0.1,0.1,3,0.6,1.7619333267211914
0.1,0.1,4,0.5555555555555556,1.5419306755065918
0.1,0.1,5,0.6666666666666666,1.4997508525848389
0.1,1.0,1,0.5555555555555556,1.7333297729492188
0.1,1.0,2,0.5,1.695305347442627
0.1,1.0,3,0.5217391304347826,1.5571010112762451
0.1,1.0,4,0.5555555555555556,1.551126480102539
0.1,1.0,5,0.5714285714285714,1.6551003456115723
